Altitude_km,Mach_0.073,Mach_0.083,Mach_0.093,Mach_0.103,Mach_0.113,Mach_0.123,Mach_0.133,Mach_0.143,Mach_0.153,Mach_0.163,Mach_0.173,Mach_0.183,Mach_0.193,Mach_0.203,Mach_0.213,Mach_0.223,Mach_0.233,Mach_0.243,Mach_0.253,Mach_0.263,Mach_0.273,Mach_0.283,Mach_0.293,Mach_0.303,Mach_0.313,Mach_0.323,Mach_0.333,Mach_0.343,Mach_0.353,Mach_0.363,Mach_0.373,Mach_0.383,Mach_0.393,Mach_0.403,Mach_0.413,Mach_0.423,Mach_0.433,Mach_0.443,Mach_0.453,Mach_0.463,Mach_0.473,Mach_0.483,Mach_0.493
0.0,,13.0969655275962,13.879953728322798,14.020810511448348,13.682986095193217,13.01879684111918,12.178176863611103,11.270926423718082,10.367361047540184,9.507440079957926,8.710894091852845,7.984932394755436,7.3296424333207595,6.738134839724244,6.201620899774209,5.722009671027362,5.292242255662429,4.906813078114714,4.560495064313681,4.2491968505958075,3.9677228782197673,3.7133128436040357,3.482473989282613,3.2717932697322545,3.0767776426883047,2.8988054665114764,2.7358888657827243,2.5863468675812684,2.4488287840923206,2.3223327461559617,2.205422505369675,2.0970259005481617,1.9968485280086057,1.9031416854684053,1.8157150817137406,1.7343884259695599,1.6584025123410904,1.5873948630057164,1.520997069206962,1.4588352961472695,1.4005307107899196,1.3452886242404816,1.2935427853489228
0.5,,12.765151592901907,13.684575694095674,13.978603809398022,13.781116370784774,13.227506053192208,12.464215553353348,11.604862535225154,10.726364581302112,9.875241495671128,9.076974997724935,8.342416059341618,7.674813541586241,7.07032231303605,6.524084449728362,6.033341085352839,5.5923627043334925,5.195956970075557,4.838940817829134,4.517056423681481,4.22591305859153,3.9619693434141254,3.722367695558095,3.5000136201125938,3.2879162091031433,3.094018856415744,2.9163141267583104,2.753494661541555,2.603797186241736,2.4658012846115827,2.3384451613939286,2.220638624928835,2.1116679054272796,2.0110124864937973,1.918621134416556,1.832664466127904,1.7523934832948107,1.6774530168838153,1.6074814186951654,1.541703790396513,1.4797443842631242,1.4220410549741658,1.367393878981598
1.0,,12.40682295887878,13.45091057182292,13.894351252663094,13.840768709487463,13.406192258359782,12.730167141312748,11.928123110748926,11.082721943755216,10.246925344652094,9.451381757517717,8.71147386869001,8.03320404836536,7.417461614163504,6.862303228682824,6.361501334135421,5.910168891406138,5.502858064782307,5.135206638619629,4.803244589258737,4.5023487966688664,4.228977811806476,3.9805690650351533,3.746265659734547,3.515276156502866,3.3036920054707477,3.110275491707655,2.932916957294985,2.769828428707009,2.6199614417198505,2.4814378959010654,2.3531423094331734,2.2347344306547257,2.1262065544928657,2.028538793347545,1.9380316606285397,1.85314614166193,1.7739349198306473,1.6996393706148563,1.6303010160884168,1.5647408224719948,1.503395618361094,1.4458886748824245
1.5,,12.02485507920695,13.18047269684166,13.767251611127252,13.859120116903563,13.550691271751916,12.971740795159544,12.236873685891336,11.433288940290785,10.619598705006636,9.832018741955702,9.090646697899446,8.404452757473978,7.779241302845941,7.216853123541718,6.707210179995781,6.246102379198222,5.828653331186075,5.451092021754707,5.1087386223080316,4.798235499342935,4.515748402459424,4.25867595094683,4.012261840750933,3.7601378328645367,3.5298495628361017,3.3189775263481978,3.1257840858472754,2.948457888796039,2.785132539988102,2.6342974886546218,2.4952065453150776,2.3663023383954815,2.2493735256614116,2.146131139689078,2.05036114533821,1.9605410794459983,1.8771310543643287,1.798581471627286,1.7249357438336541,1.655831132748356,1.5913043664976858,1.530172526380676
2.0,,11.622370986837469,12.875212864566,13.597161166804273,13.833758709823524,13.657088363298897,13.184209858324474,12.526641216267334,11.774009791626831,10.99029938975849,10.216820388209447,9.478149032946378,8.787614921557283,8.155176479439637,7.587857578785872,7.070495640132215,6.600652540269042,6.17387563982128,5.786754542509595,5.434716390831547,5.11501995261278,4.823970835934463,4.558219852641809,4.298501506705279,4.024136002067842,3.7733093119483665,3.5435952924794263,3.3332385648001477,3.140007684565245,2.962401433032128,2.7984840090165313,2.647081750236108,2.507002773489126,2.3811377772660567,2.2720374036189686,2.170709144846413,2.076045990157958,1.9873199697084747,1.904189913916282,1.8267081337217064,1.7537181487059206,1.6848551896945483,1.620153025444985
2.5,,,12.550850265055566,13.40264907224113,13.784109611149242,13.744644848483102,13.38618535570715,12.814701780613055,12.120839039396627,11.372834170672759,10.617504815682468,9.884433519459268,9.190339585371467,8.545515501651279,7.954121238954694,7.412323792188794,6.917771405962369,6.4674010709234775,6.057148375256109,5.683858457758636,5.343928848358502,5.033692415410042,4.750469405665369,4.478190257529379,4.200034652620701,3.9453234945252245,3.711874786521208,3.4977426796166866,3.300481797882472,3.119116728054378,2.9514477928872704,2.796398639461891,2.652471898247752,2.5220959637355724,2.406870748783847,2.299703998361497,2.199505550365493,2.1055603020979174,2.0179341790648957,1.9354928516592735,1.8582852275611401,1.7855560207975751,1.7169416631722942
3.0,,,12.194238039125608,13.163546379093443,13.684696474914027,13.78466569283879,13.548158309130564,13.072807725933984,12.448185868826702,11.745500440024227,11.016338218907137,10.294914114998344,9.602336130576573,8.947627534088493,8.334213448955937,7.768549497951784,7.2495636516963256,6.775165545262557,6.341843026325737,5.94662655492353,5.585858667059725,5.255985377386057,4.95466223761018,4.669209210584731,4.387233573995614,4.12850272873086,3.891084776611605,3.672864980088421,3.4715834842373985,3.28601809065051,3.114487652340564,2.955633507785122,2.8084377341624744,2.6732025914782733,2.551605660514946,2.4379470597844786,2.331936632099404,2.2324833527560477,2.1396612322428425,2.0523501436995573,1.970207638402715,1.8932827317326213,1.820822563973775
3.5,,,11.80889335241282,12.881874189000753,13.535134602789464,13.774276174250014,13.66549021953661,13.295691643959076,12.750831775443675,12.103549603203875,11.409206096514104,10.706515315775126,10.020723855078405,9.360722142403535,8.727187420068859,8.138706644477262,7.59614945258867,7.097793443558344,6.641168545689959,6.223327158432456,5.841348505419542,5.49156432295181,5.170959181007281,4.872221522417012,4.5861766875301795,4.323424258362247,4.0819283201845975,3.859426631948595,3.6542257488681344,3.464501567764459,3.289083854167817,3.1263466443181733,2.975364227287643,2.83536671385709,2.706399238907369,2.5863986827161494,2.4739281277986502,2.3686940142817727,2.2699977633713324,2.177519255138706,2.0909290829973965,2.0090966508928543,1.9324652547275722
4.0,,,,12.560526517865846,13.335969538777423,13.71142866370026,13.734004793671936,13.47770994828499,13.022768110908975,12.441276136786199,11.7912513776833,11.115381072180943,10.4428955551809,9.781863616852801,9.131387539005036,8.522276249076027,7.957109884799676,7.4351235834751686,6.955092133113556,6.5146195443908335,6.110672928300977,5.740223429911771,5.400401349329619,5.087358788224333,4.797525618504522,4.530534374887199,4.2846213139815434,4.058132353365162,3.8488431135931536,3.6550956321096537,3.475479931584206,3.308866509340337,3.154052025440814,3.0094463489021406,2.872921381984092,2.7452028351931745,2.626425435745406,2.5147679913510896,2.4103242979525183,2.3123983217563433,2.220278328742309,2.1336326863022776,2.052121714367866
4.5,,,,12.202782661982322,13.087662388856186,13.592597333136112,13.74601748277352,13.607722441678854,13.249974378970434,12.74262870443831,12.145089506195742,11.503040040011667,10.84948299030009,10.196473054900602,9.545508880899408,8.9302076802534,8.354392794734732,7.819678207550555,7.325257041973704,6.8695232445837515,6.450218149967452,6.064510777550349,5.71017718326698,5.38280756955497,5.078785021903885,4.798885563419031,4.540528714184349,4.302237700623115,4.0815787347093035,3.877377768732335,3.6883291936508393,3.5126409563179304,3.349169748722195,3.1958624014826795,3.0512401281440567,2.9163927781469847,2.789943236012971,2.67202111283716,2.5611949391158344,2.457169541804502,2.3596381076627027,2.2675001018520153,2.1812075530111152
5.0,,,,11.812775439014597,12.793820230073315,13.420521393404888,13.703548607717218,13.687681668092488,13.435311000920379,13.012022741907243,12.476802590753652,11.877845324573284,11.25127518762873,10.61274386874806,9.966591761373078,9.348876495061727,8.76576665891068,8.219895274466088,7.712480489022692,7.242674652180984,6.8082393071995755,6.40759766765457,6.037977322361124,5.696147120620114,5.378215331078304,5.084760502569837,4.813479032821617,4.562751682721388,4.330686788564647,4.115893422371171,3.9160802642628134,3.7306458264258655,3.5581591291685335,3.3961119599405323,3.242900743393133,3.1000103250969335,2.966101702076554,2.8405596202801084,2.7231290222084272,2.6127660945445657,2.5091774608576727,2.4116689375745732,2.3195308900867824
5.5,,,,,12.457723248313716,13.196136742039375,13.604930251057343,13.713573712839814,13.573201746173249,13.243102851564096,12.780370135144684,12.234080469472488,11.643280246564574,11.026519845699262,10.39123586712311,9.775777835046224,9.188655542052127,8.634874409361494,8.116335419948761,7.633088324971258,7.1848872247465785,6.769449255310769,6.385471398097291,6.0290529727366655,5.696400062795464,5.3889768231988455,5.104826719461189,4.8412022647182456,4.59710819628921,4.37060742308714,4.160271711146768,3.9645159301959194,3.782360662074533,3.6112172350969507,3.4489790098246282,3.2971888981796424,3.1553022957259294,3.0223609536753315,2.8973708596789094,2.780457656180111,2.670197289836265,2.566680591119487,2.468829039198421
6.0,,,,,12.083251012616339,12.921478099443389,13.449610584526601,13.682321821635615,13.658564075563426,13.429681414006067,13.049117049510558,12.565522186139997,12.019633204513042,11.432749010749756,10.815587510574913,10.208056010212827,9.62159572030329,9.06283353554166,8.535349663912223,8.041194188413987,7.57973181530066,7.150786393273718,6.7522212882966235,6.381452768977869,6.034269986517099,5.713078751080107,5.414969841106165,5.138522533383096,4.881948009932198,4.643502104541219,4.421912855699169,4.215368392431192,4.022988027128379,3.842097796196407,3.6700854805313363,3.50934928007277,3.3586424322133883,3.2177948617930054,3.0850957101549406,2.960687543118935,2.8439376275532884,2.7338075949969816,2.6300041122131423
6.5,,,,,11.689871301721594,12.62024353553577,13.264835638616407,13.624358529485432,13.72478618196328,13.607891403359474,13.321682774193619,12.912982944413516,12.42304313335386,11.875477318760952,11.282856617576646,10.688313226950209,10.105513327454476,9.543915503603703,9.008956693326313,8.503367492690895,8.028563244717338,7.584672921527889,7.170712943745615,6.783695014733051,6.420649523340101,6.083432318415349,5.769912915588785,5.478349592253055,5.207573732321218,4.955384247618143,4.7206822081609285,4.501807914827987,4.2976383561919,4.105509662173375,3.9227867891466417,3.7517723180539924,3.5912719198924568,3.441154175438521,3.300127239150226,3.1676084228876986,3.0426064960039203,2.925245372721132,2.8144890719164346
7.0,,,,,,12.27067869036668,13.020274310208132,13.50077993175364,13.725502167178345,13.725761420980307,13.54256054683969,13.219191652293151,12.79617101854169,12.298135511448649,11.739653190668742,11.166136898075262,10.594147944143687,10.035113223770987,9.496448025932887,8.983078479792924,8.497149869601849,8.040103259232252,7.611699300899097,7.209322849057094,6.830406130532822,6.477331755577424,6.148183983967935,5.841644743731727,5.556210149859047,5.289953103267094,5.041639169999667,4.809784620626613,4.593051193795978,4.389157303147066,4.195095980181528,4.0131047932265025,3.842421039144591,3.682220870539884,3.532002091524672,3.3908478516884366,3.2574219316006285,3.1322471138867733,3.013932317808207
7.5,,,,,,11.87793715649964,12.71911457030537,13.311969024910221,13.658050408905803,13.777926029141808,13.704388963748311,13.475722801484109,13.130184924189846,12.692784987492052,12.178740876240019,11.635501052349735,11.081894000114143,10.531764257919331,9.99472203012364,9.477610301970024,8.983819842600626,8.515762935103199,8.074376515397937,7.658183475590589,7.264299155183639,6.895726609946789,6.551170008784891,6.229160337604509,5.928916275440565,5.647843415871757,5.385633897295912,5.140338488789562,4.9107888239345145,4.694385693203593,4.488117209008268,4.294919410130128,4.113381622034411,3.9431090093734786,3.7829115399655797,3.6319108812024394,3.489935582811667,3.3560331757004875,3.2299749652012313
8.0,,,,,,,12.36577354449622,13.059821361716507,13.521347088009438,13.76036458191336,13.80079003557553,13.674600679604941,13.416475058598552,13.050212301022201,12.591517492527464,12.088475570727864,11.562183324493894,11.0285361961847,10.499589206879403,9.983396379150332,9.485654122315356,9.010035971825815,8.558347168072023,8.129246053730139,7.7216638792793715,7.338234122727152,6.978665773701502,6.641780768302259,6.326294339763983,6.030993749588278,5.754207591946061,5.495249963596665,5.252481631740845,5.023010707977189,4.804187292162826,4.598598086839294,4.405649361982811,4.224298229950366,4.053419182227319,3.8929298494705393,3.7415922921391975,3.598488311572233,3.463792474047558
8.5,,,,,,,11.96565029972751,12.747786473094354,13.315997822924095,13.67062800052642,13.82652325317403,13.80840172435144,13.646189192449711,13.361335454027317,12.968777358480136,12.516511710980554,12.027199831522667,11.51861629221532,11.005001828911247,10.496013921619602,9.999528378473714,9.51996398673825,9.060867401787258,8.621841584565331,8.201807291032294,7.80517423185192,7.431621016584966,7.080038992410202,6.749682863218525,6.4394696254777,6.148436603455526,5.875202249613665,5.618711421849839,5.376174373935225,5.143922935545734,4.92600249357273,4.720869855669133,4.527932115194254,4.3461487059445085,4.175132940812921,4.013334616936017,3.8609955397581857,3.7172121312491644
