Altitude_km,Mach_0.073,Mach_0.074,Mach_0.075,Mach_0.076,Mach_0.077,Mach_0.078,Mach_0.079,Mach_0.080,Mach_0.081,Mach_0.082,Mach_0.083,Mach_0.084,Mach_0.085,Mach_0.086,Mach_0.087,Mach_0.088,Mach_0.089,Mach_0.090,Mach_0.091,Mach_0.092,Mach_0.093,Mach_0.094,Mach_0.095,Mach_0.096,Mach_0.097,Mach_0.098,Mach_0.099,Mach_0.100,Mach_0.101,Mach_0.102,Mach_0.103,Mach_0.104,Mach_0.105,Mach_0.106,Mach_0.107,Mach_0.108,Mach_0.109,Mach_0.110,Mach_0.111,Mach_0.112,Mach_0.113,Mach_0.114,Mach_0.115,Mach_0.116,Mach_0.117,Mach_0.118,Mach_0.119,Mach_0.120,Mach_0.121,Mach_0.122,Mach_0.123,Mach_0.124,Mach_0.125,Mach_0.126,Mach_0.127,Mach_0.128,Mach_0.129,Mach_0.130,Mach_0.131,Mach_0.132,Mach_0.133,Mach_0.134,Mach_0.135,Mach_0.136,Mach_0.137,Mach_0.138,Mach_0.139,Mach_0.140,Mach_0.141,Mach_0.142,Mach_0.143,Mach_0.144,Mach_0.145,Mach_0.146,Mach_0.147,Mach_0.148,Mach_0.149,Mach_0.150,Mach_0.151,Mach_0.152,Mach_0.153,Mach_0.154,Mach_0.155,Mach_0.156,Mach_0.157,Mach_0.158,Mach_0.159,Mach_0.160,Mach_0.161,Mach_0.162,Mach_0.163,Mach_0.164,Mach_0.165,Mach_0.166,Mach_0.167,Mach_0.168,Mach_0.169,Mach_0.170,Mach_0.171,Mach_0.172,Mach_0.173,Mach_0.174,Mach_0.175,Mach_0.176,Mach_0.177,Mach_0.178,Mach_0.179,Mach_0.180,Mach_0.181,Mach_0.182,Mach_0.183,Mach_0.184,Mach_0.185,Mach_0.186,Mach_0.187,Mach_0.188,Mach_0.189,Mach_0.190,Mach_0.191,Mach_0.192,Mach_0.193,Mach_0.194,Mach_0.195,Mach_0.196,Mach_0.197,Mach_0.198,Mach_0.199,Mach_0.200,Mach_0.201,Mach_0.202,Mach_0.203,Mach_0.204,Mach_0.205,Mach_0.206,Mach_0.207,Mach_0.208,Mach_0.209,Mach_0.210,Mach_0.211,Mach_0.212,Mach_0.213,Mach_0.214,Mach_0.215,Mach_0.216,Mach_0.217,Mach_0.218,Mach_0.219,Mach_0.220,Mach_0.221,Mach_0.222,Mach_0.223,Mach_0.224,Mach_0.225,Mach_0.226,Mach_0.227,Mach_0.228,Mach_0.229,Mach_0.230,Mach_0.231,Mach_0.232,Mach_0.233,Mach_0.234,Mach_0.235,Mach_0.236,Mach_0.237,Mach_0.238,Mach_0.239,Mach_0.240,Mach_0.241,Mach_0.242,Mach_0.243,Mach_0.244,Mach_0.245,Mach_0.246,Mach_0.247,Mach_0.248,Mach_0.249
0.0,,1.38812,1.35135,1.31602,1.28206,1.2494,1.21797,1.18771,1.15857,1.13048,1.1034,1.07729,1.05209,1.02776,1.00427,0.98158,0.95965,0.93844,0.91793,0.89808,0.87887,0.86027,0.84225,0.8248,0.80788,0.79148,0.77557,0.76013,0.74516,0.73062,0.7165,0.70279,0.68946,0.67652,0.66393,0.65169,0.63979,0.62821,0.61694,0.60597,0.5953,0.5849,0.57477,0.5649,0.55529,0.54592,0.53678,0.52787,0.51918,0.51071,0.50244,0.49436,0.48649,0.47879,0.47128,0.46395,0.45678,0.44978,0.44294,0.43626,0.42972,0.42333,0.41708,0.41097,0.40499,0.39915,0.39342,0.38782,0.38234,0.37698,0.37172,0.36658,0.36154,0.3566,0.35177,0.34703,0.34239,0.33784,0.33338,0.32901,0.32472,0.32052,0.31639,0.31235,0.30838,0.30449,0.30067,0.29693,0.29325,0.28964,0.2861,0.28262,0.2792,0.27585,0.27256,0.26932,0.26614,0.26302,0.25996,0.25694,0.25398,0.25107,0.24821,0.24539,0.24263,0.23991,0.23724,0.23461,0.23202,0.22948,0.22698,0.22452,0.2221,0.21972,0.21737,0.21507,0.2128,0.21056,0.20836,0.2062,0.20407,0.20197,0.1999,0.19787,0.19587,0.19389,0.19195,0.19003,0.18815,0.18629,0.18446,0.18265,0.18088,0.17912,0.1774,0.1757,0.17402,0.17237,0.17074,0.16913,0.16754,0.16598,0.16444,0.16292,0.16143,0.15995,0.15849,0.15705,0.15563,0.15424,0.15286,0.15149,0.15015,0.14882,0.14752,0.14622,0.14495,0.14369,0.14245,0.14123,0.14002,0.13882,0.13764,0.13648,0.13533,0.1342,0.13307,0.13197,0.13087,0.1298,0.12873,0.12768,0.12664,0.12561,0.12459,0.12359,0.1226
0.25,,,1.39212,1.35573,1.32074,1.2871,1.25472,1.22355,1.19352,1.16459,1.1367,1.10979,1.08383,1.05877,1.03457,1.01119,0.9886,0.96675,0.94562,0.92518,0.90539,0.88623,0.86767,0.84968,0.83226,0.81536,0.79897,0.78307,0.76764,0.75266,0.73812,0.72399,0.71027,0.69693,0.68396,0.67136,0.65909,0.64716,0.63556,0.62426,0.61326,0.60255,0.59211,0.58195,0.57204,0.56239,0.55298,0.5438,0.53485,0.52611,0.51759,0.50928,0.50116,0.49324,0.4855,0.47795,0.47057,0.46335,0.45631,0.44942,0.44269,0.4361,0.42967,0.42337,0.41721,0.41119,0.40529,0.39953,0.39388,0.38835,0.38294,0.37764,0.37245,0.36736,0.36238,0.3575,0.35272,0.34803,0.34344,0.33893,0.33452,0.33019,0.32594,0.32177,0.31769,0.31368,0.30975,0.30589,0.3021,0.29838,0.29473,0.29115,0.28763,0.28417,0.28078,0.27745,0.27417,0.27096,0.2678,0.26469,0.26164,0.25864,0.2557,0.2528,0.24995,0.24715,0.2444,0.24169,0.23902,0.23641,0.23383,0.23129,0.2288,0.22635,0.22393,0.22156,0.21922,0.21692,0.21465,0.21242,0.21023,0.20806,0.20594,0.20384,0.20178,0.19974,0.19774,0.19577,0.19382,0.19191,0.19002,0.18817,0.18633,0.18453,0.18275,0.181,0.17927,0.17757,0.17589,0.17423,0.1726,0.17099,0.1694,0.16784,0.1663,0.16477,0.16327,0.16179,0.16033,0.15889,0.15747,0.15606,0.15468,0.15331,0.15197,0.15064,0.14932,0.14803,0.14675,0.14549,0.14424,0.14301,0.1418,0.1406,0.13941,0.13824,0.13709,0.13595,0.13482,0.13371,0.13261,0.13153,0.13046,0.1294,0.12835,0.12732,0.1263
0.5,,,,1.39687,1.36082,1.32615,1.29279,1.26067,1.22974,1.19993,1.17119,1.14347,1.11672,1.0909,1.06597,1.04188,1.0186,0.99609,0.97432,0.95325,0.93286,0.91312,0.894,0.87547,0.85751,0.8401,0.82321,0.80683,0.79093,0.7755,0.76052,0.74596,0.73182,0.71808,0.70472,0.69173,0.67909,0.6668,0.65484,0.6432,0.63187,0.62083,0.61008,0.59961,0.5894,0.57945,0.56976,0.5603,0.55108,0.54208,0.5333,0.52473,0.51637,0.50821,0.50024,0.49245,0.48485,0.47742,0.47015,0.46306,0.45612,0.44934,0.44271,0.43622,0.42987,0.42367,0.41759,0.41165,0.40583,0.40013,0.39456,0.3891,0.38375,0.37851,0.37338,0.36835,0.36342,0.35859,0.35386,0.34922,0.34467,0.34021,0.33583,0.33154,0.32733,0.3232,0.31915,0.31517,0.31127,0.30743,0.30367,0.29998,0.29636,0.2928,0.2893,0.28587,0.28249,0.27918,0.27592,0.27273,0.26958,0.26649,0.26346,0.26047,0.25754,0.25465,0.25181,0.24902,0.24628,0.24358,0.24092,0.23831,0.23574,0.23322,0.23073,0.22828,0.22587,0.2235,0.22116,0.21887,0.21661,0.21438,0.21218,0.21002,0.2079,0.2058,0.20374,0.20171,0.19971,0.19773,0.19579,0.19388,0.19199,0.19013,0.1883,0.18649,0.18471,0.18296,0.18123,0.17952,0.17784,0.17618,0.17454,0.17293,0.17134,0.16977,0.16823,0.1667,0.1652,0.16371,0.16225,0.1608,0.15937,0.15797,0.15658,0.15521,0.15386,0.15252,0.1512,0.1499,0.14862,0.14735,0.1461,0.14486,0.14364,0.14244,0.14125,0.14007,0.13891,0.13777,0.13664,0.13552,0.13442,0.13333,0.13225,0.13118,0.13013
0.75,,,,,1.40236,1.36663,1.33225,1.29915,1.26727,1.23655,1.20694,1.17837,1.15081,1.1242,1.0985,1.07368,1.04969,1.02649,1.00406,0.98235,0.96133,0.94099,0.92128,0.90219,0.88368,0.86574,0.84834,0.83146,0.81507,0.79917,0.78373,0.76873,0.75416,0.73999,0.72623,0.71284,0.69982,0.68716,0.67483,0.66283,0.65115,0.63978,0.6287,0.61791,0.60739,0.59714,0.58715,0.5774,0.5679,0.55863,0.54958,0.54075,0.53213,0.52372,0.5155,0.50748,0.49964,0.49199,0.4845,0.47719,0.47004,0.46305,0.45622,0.44953,0.443,0.4366,0.43034,0.42421,0.41822,0.41235,0.4066,0.40097,0.39546,0.39006,0.38477,0.37959,0.37451,0.36954,0.36466,0.35988,0.35519,0.35059,0.34608,0.34166,0.33732,0.33306,0.32889,0.32479,0.32077,0.31682,0.31294,0.30914,0.3054,0.30173,0.29813,0.29459,0.29112,0.2877,0.28435,0.28105,0.27781,0.27463,0.2715,0.26842,0.2654,0.26242,0.2595,0.25662,0.2538,0.25101,0.24828,0.24559,0.24294,0.24033,0.23777,0.23525,0.23276,0.23032,0.22792,0.22555,0.22322,0.22092,0.21866,0.21644,0.21424,0.21208,0.20996,0.20786,0.2058,0.20377,0.20177,0.19979,0.19785,0.19593,0.19404,0.19218,0.19035,0.18854,0.18676,0.185,0.18327,0.18156,0.17987,0.17821,0.17657,0.17496,0.17336,0.17179,0.17024,0.16871,0.1672,0.16571,0.16424,0.16279,0.16136,0.15994,0.15855,0.15718,0.15582,0.15448,0.15315,0.15185,0.15056,0.14929,0.14803,0.14679,0.14556,0.14435,0.14315,0.14197,0.14081,0.13966,0.13852,0.13739,0.13628,0.13519,0.1341
1.0,,,,,,1.40859,1.37315,1.33904,1.30618,1.27451,1.24399,1.21455,1.18614,1.15871,1.13223,1.10664,1.08191,1.058,1.03488,1.0125,0.99085,0.96988,0.94957,0.92989,0.91081,0.89232,0.87438,0.85698,0.8401,0.82371,0.80779,0.79233,0.77731,0.76271,0.74852,0.73473,0.72131,0.70825,0.69555,0.68318,0.67114,0.65942,0.648,0.63688,0.62604,0.61547,0.60517,0.59513,0.58533,0.57578,0.56645,0.55735,0.54847,0.5398,0.53133,0.52306,0.51498,0.50709,0.49938,0.49184,0.48447,0.47727,0.47022,0.46333,0.4566,0.45,0.44355,0.43724,0.43106,0.42501,0.41908,0.41328,0.4076,0.40204,0.39659,0.39125,0.38601,0.38088,0.37585,0.37092,0.36609,0.36135,0.35671,0.35215,0.34767,0.34329,0.33898,0.33476,0.33061,0.32654,0.32255,0.31863,0.31478,0.311,0.30728,0.30364,0.30005,0.29653,0.29308,0.28968,0.28634,0.28306,0.27983,0.27666,0.27354,0.27048,0.26746,0.2645,0.26159,0.25872,0.2559,0.25313,0.2504,0.24771,0.24507,0.24247,0.23991,0.23739,0.23491,0.23247,0.23007,0.2277,0.22537,0.22308,0.22082,0.2186,0.2164,0.21425,0.21212,0.21002,0.20796,0.20593,0.20392,0.20195,0.2,0.19808,0.19619,0.19433,0.19249,0.19068,0.18889,0.18713,0.18539,0.18368,0.18199,0.18033,0.17868,0.17706,0.17546,0.17389,0.17233,0.1708,0.16928,0.16779,0.16631,0.16486,0.16342,0.162,0.1606,0.15922,0.15786,0.15651,0.15518,0.15387,0.15257,0.15129,0.15003,0.14878,0.14755,0.14633,0.14513,0.14394,0.14277,0.14161,0.14047,0.13934,0.13822
1.25,,,,,,,,1.38039,1.34651,1.31387,1.2824,1.25205,1.22277,1.19449,1.16719,1.14082,1.11532,1.09068,1.06684,1.04377,1.02145,0.99983,0.97889,0.9586,0.93894,0.91987,0.90139,0.88345,0.86604,0.84914,0.83273,0.8168,0.80131,0.78627,0.77164,0.75741,0.74358,0.73012,0.71703,0.70428,0.69187,0.67978,0.66801,0.65655,0.64537,0.63448,0.62386,0.61351,0.60341,0.59356,0.58394,0.57456,0.56541,0.55647,0.54774,0.53921,0.53089,0.52275,0.5148,0.50703,0.49943,0.49201,0.48475,0.47764,0.4707,0.4639,0.45725,0.45074,0.44437,0.43813,0.43202,0.42605,0.42019,0.41445,0.40883,0.40333,0.39793,0.39264,0.38746,0.38238,0.3774,0.37251,0.36772,0.36302,0.35841,0.35389,0.34945,0.3451,0.34082,0.33663,0.33251,0.32847,0.3245,0.3206,0.31677,0.31301,0.30932,0.30569,0.30213,0.29862,0.29518,0.2918,0.28847,0.2852,0.28199,0.27883,0.27572,0.27267,0.26966,0.26671,0.2638,0.26094,0.25813,0.25536,0.25264,0.24996,0.24732,0.24472,0.24217,0.23965,0.23717,0.23473,0.23233,0.22997,0.22764,0.22535,0.22309,0.22086,0.21867,0.21651,0.21438,0.21229,0.21022,0.20818,0.20618,0.2042,0.20225,0.20033,0.19843,0.19657,0.19473,0.19291,0.19112,0.18935,0.18761,0.1859,0.1842,0.18253,0.18088,0.17926,0.17765,0.17607,0.17451,0.17297,0.17145,0.16995,0.16847,0.167,0.16556,0.16414,0.16273,0.16134,0.15997,0.15862,0.15728,0.15596,0.15466,0.15338,0.15211,0.15085,0.14961,0.14839,0.14718,0.14599,0.14481,0.14364,0.14249
1.5,,,,,,,,,1.38834,1.35469,1.32224,1.29094,1.26075,1.2316,1.20345,1.17625,1.14997,1.12456,1.09998,1.07619,1.05317,1.03089,1.0093,0.98838,0.96811,0.94845,0.92939,0.91089,0.89294,0.87552,0.8586,0.84217,0.8262,0.81069,0.79561,0.78094,0.76668,0.7528,0.7393,0.72616,0.71336,0.7009,0.68876,0.67694,0.66542,0.65419,0.64324,0.63256,0.62215,0.61199,0.60208,0.59241,0.58297,0.57375,0.56475,0.55596,0.54738,0.53899,0.53079,0.52278,0.51495,0.50729,0.4998,0.49248,0.48532,0.47831,0.47145,0.46474,0.45817,0.45174,0.44544,0.43928,0.43324,0.42733,0.42153,0.41586,0.41029,0.40484,0.3995,0.39426,0.38912,0.38408,0.37914,0.3743,0.36954,0.36488,0.36031,0.35582,0.35141,0.34709,0.34284,0.33867,0.33458,0.33056,0.32661,0.32274,0.31893,0.31519,0.31151,0.3079,0.30435,0.30086,0.29743,0.29406,0.29075,0.28749,0.28429,0.28114,0.27804,0.27499,0.272,0.26905,0.26615,0.26329,0.26049,0.25772,0.255,0.25232,0.24969,0.24709,0.24454,0.24203,0.23955,0.23711,0.23471,0.23235,0.23002,0.22772,0.22546,0.22324,0.22104,0.21888,0.21675,0.21465,0.21258,0.21054,0.20853,0.20655,0.2046,0.20267,0.20077,0.1989,0.19706,0.19524,0.19344,0.19167,0.18992,0.1882,0.1865,0.18482,0.18317,0.18154,0.17993,0.17834,0.17677,0.17523,0.1737,0.17219,0.1707,0.16923,0.16779,0.16635,0.16494,0.16355,0.16217,0.16081,0.15947,0.15814,0.15683,0.15554,0.15426,0.153,0.15175,0.15052,0.1493,0.1481,0.14692
1.75,,,,,,,,,,1.39702,1.36356,1.33128,1.30014,1.27008,1.24105,1.21301,1.1859,1.1597,1.13435,1.10982,1.08608,1.0631,1.04083,1.01926,0.99836,0.97809,0.95843,0.93935,0.92084,0.90288,0.88543,0.86849,0.85202,0.83602,0.82047,0.80534,0.79064,0.77633,0.7624,0.74885,0.73565,0.7228,0.71029,0.69809,0.68621,0.67463,0.66334,0.65233,0.64159,0.63112,0.6209,0.61092,0.60119,0.59168,0.5824,0.57334,0.56448,0.55583,0.54738,0.53911,0.53104,0.52314,0.51542,0.50787,0.50048,0.49325,0.48618,0.47926,0.47249,0.46586,0.45936,0.45301,0.44678,0.44068,0.4347,0.42885,0.42311,0.41749,0.41198,0.40658,0.40128,0.39608,0.39099,0.38599,0.38109,0.37628,0.37157,0.36693,0.36239,0.35793,0.35355,0.34925,0.34503,0.34089,0.33682,0.33282,0.32889,0.32504,0.32125,0.31752,0.31386,0.31026,0.30673,0.30325,0.29984,0.29648,0.29317,0.28992,0.28673,0.28359,0.2805,0.27746,0.27446,0.27152,0.26862,0.26577,0.26297,0.26021,0.25749,0.25482,0.25218,0.24959,0.24704,0.24452,0.24205,0.23961,0.2372,0.23484,0.23251,0.23021,0.22795,0.22572,0.22352,0.22136,0.21922,0.21712,0.21505,0.21301,0.21099,0.20901,0.20705,0.20512,0.20321,0.20134,0.19948,0.19766,0.19586,0.19408,0.19233,0.1906,0.18889,0.18721,0.18555,0.18391,0.1823,0.1807,0.17913,0.17757,0.17604,0.17452,0.17303,0.17155,0.1701,0.16866,0.16724,0.16583,0.16445,0.16308,0.16173,0.1604,0.15908,0.15778,0.15649,0.15522,0.15397,0.15273,0.15151
2.0,,,,,,,,,,,1.40642,1.37313,1.34101,1.31001,1.28007,1.25114,1.22318,1.19615,1.17001,1.14471,1.12022,1.09652,1.07355,1.0513,1.02974,1.00883,0.98855,0.96888,0.94979,0.93126,0.91326,0.89579,0.8788,0.8623,0.84626,0.83066,0.81549,0.80073,0.78637,0.77239,0.75878,0.74552,0.73261,0.72004,0.70778,0.69584,0.68419,0.67283,0.66176,0.65096,0.64041,0.63013,0.62008,0.61028,0.60071,0.59136,0.58223,0.5733,0.56458,0.55606,0.54773,0.53959,0.53162,0.52383,0.51621,0.50876,0.50147,0.49433,0.48734,0.4805,0.4738,0.46725,0.46082,0.45453,0.44837,0.44233,0.43641,0.43061,0.42493,0.41936,0.41389,0.40854,0.40328,0.39813,0.39307,0.38811,0.38324,0.37847,0.37378,0.36918,0.36467,0.36023,0.35588,0.3516,0.34741,0.34328,0.33923,0.33525,0.33134,0.3275,0.32373,0.32002,0.31637,0.31278,0.30926,0.3058,0.30239,0.29904,0.29574,0.2925,0.28931,0.28618,0.28309,0.28006,0.27707,0.27413,0.27124,0.26839,0.26559,0.26283,0.26011,0.25743,0.2548,0.25221,0.24965,0.24714,0.24466,0.24222,0.23982,0.23745,0.23511,0.23281,0.23055,0.22832,0.22612,0.22395,0.22181,0.2197,0.21762,0.21558,0.21356,0.21156,0.2096,0.20766,0.20576,0.20387,0.20201,0.20018,0.19837,0.19659,0.19483,0.1931,0.19138,0.18969,0.18803,0.18638,0.18476,0.18315,0.18157,0.18001,0.17847,0.17695,0.17544,0.17396,0.17249,0.17105,0.16962,0.16821,0.16682,0.16544,0.16408,0.16274,0.16141,0.1601,0.15881,0.15753,0.15627
2.25,,,,,,,,,,,,,1.38342,1.35143,1.32055,1.2907,1.26186,1.23398,1.20701,1.18091,1.15565,1.13119,1.1075,1.08455,1.0623,1.04073,1.01982,0.99952,0.97983,0.96071,0.94214,0.92411,0.9066,0.88957,0.87302,0.85693,0.84128,0.82605,0.81123,0.79681,0.78277,0.7691,0.75578,0.74281,0.73016,0.71784,0.70583,0.69411,0.68269,0.67154,0.66067,0.65005,0.63969,0.62958,0.6197,0.61006,0.60064,0.59143,0.58244,0.57365,0.56505,0.55665,0.54843,0.5404,0.53254,0.52485,0.51732,0.50996,0.50275,0.4957,0.48879,0.48202,0.4754,0.46891,0.46255,0.45632,0.45021,0.44423,0.43837,0.43262,0.42698,0.42145,0.41603,0.41072,0.4055,0.40039,0.39536,0.39044,0.3856,0.38086,0.3762,0.37162,0.36713,0.36272,0.35839,0.35414,0.34996,0.34586,0.34182,0.33786,0.33396,0.33014,0.32637,0.32268,0.31904,0.31547,0.31195,0.30849,0.30509,0.30175,0.29846,0.29523,0.29204,0.28891,0.28583,0.2828,0.27981,0.27688,0.27398,0.27114,0.26834,0.26558,0.26286,0.26018,0.25755,0.25495,0.2524,0.24988,0.2474,0.24496,0.24255,0.24018,0.23784,0.23554,0.23327,0.23103,0.22882,0.22665,0.22451,0.22239,0.22031,0.21826,0.21623,0.21423,0.21226,0.21032,0.2084,0.20651,0.20465,0.20281,0.20099,0.1992,0.19744,0.19569,0.19397,0.19227,0.1906,0.18895,0.18731,0.1857,0.18411,0.18254,0.18099,0.17946,0.17795,0.17646,0.17498,0.17353,0.17209,0.17067,0.16927,0.16789,0.16652,0.16517,0.16383,0.16251,0.16121
