Altitude_km,Max_True_speed,Mach_at_max_speed
0.0,64.657,0.19
0.25,64.81376721547701,0.191
0.5,64.96808870626256,0.192
0.75,65.11995177392372,0.193
1.0,65.60578347663338,0.195
1.25,65.75171900394507,0.196
1.5,65.89515422450577,0.197
1.75,66.03607576215994,0.198
2.0,66.50700509472772,0.2
2.25,66.64187504042602,0.201
2.5,66.77418720681112,0.202
2.75,67.23350348262363,0.204
3.0,67.35966531426072,0.205
3.25,67.48322347398327,0.206
3.5,67.6041632572202,0.207
3.75,68.0480585587994,0.209
4.0,68.16271222822381,0.21
4.25,68.27469908808597,0.211
4.5,68.38400358998275,0.212
4.75,68.49060997082583,0.213
5.0,68.59450224836974,0.214
5.25,68.37614949932967,0.214
5.5,68.15709722404381,0.214
5.75,67.93733865600595,0.214
6.0,67.40043296134907,0.213
6.25,67.18027467357969,0.213
6.5,66.64502917788649,0.212
6.75,66.11113350726164,0.211
7.0,65.57859075405929,0.21
7.25,65.04740402761256,0.209
7.5,64.20739579825143,0.207
7.75,63.37085889558899,0.205
8.0,62.2297392925989,0.202
8.25,61.0942427043947,0.199
8.5,59.65845372266739,0.195
8.75,57.92560559479822,0.19
9.0,55.29135714820113,0.182
9.25,51.46272641340702,0.17
9.5,,
